Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Profil synthétique candidat;Niveau d'études
5148;4588;Etudiants (réorientation, mise à niveau);1ère année d'études supérieures
577;513;Etudiants (réorientation, mise à niveau);2nd année d'études supérieures
373;370;Etudiants (réorientation, mise à niveau);3ème année d'études supérieures
205;291;Etudiants (réorientation, mise à niveau);4ème année d'études supérieures ou plus
847;707;Etudiants (réorientation, mise à niveau);Année préparatoire aux études supérieures
233;215;Non scolarisés;1ère année d'études supérieures
23;26;Non scolarisés;2nd année d'études supérieures
13;12;Non scolarisés;3ème année d'études supérieures
8;8;Non scolarisés;4ème année d'études supérieures ou plus
24;17;Non scolarisés;Année préparatoire aux études supérieures
